jahr,alt,d_m,d_f
2003,00Jährige,362421,344028
2003,01Jährige,370736,352109
2003,02Jährige,380171,361064
2003,03Jährige,396207,378828
2003,04Jährige,400273,378483
2003,05Jährige,407658,387313
2003,06Jährige,420335,398767
2003,07Jährige,412673,391110
2003,08Jährige,399039,379224
2003,09Jährige,404824,383240
2003,10Jährige,420985,399442
2003,11Jährige,431053,410507
2003,12Jährige,448651,426319
2003,13Jährige,494597,468604
2003,14Jährige,488758,464691
2003,15Jährige,504035,477304
2003,16Jährige,495349,467245
2003,17Jährige,486862,461934
2003,18Jährige,472426,449253
2003,19Jährige,474765,453032
2003,20Jährige,481623,464112
2003,21Jährige,498660,481794
2003,22Jährige,499601,487404
2003,23Jährige,508377,495436
2003,24Jährige,487949,474515
2003,25Jährige,485646,470501
2003,26Jährige,483637,467991
2003,27Jährige,478617,462290
2003,28Jährige,469205,450502
2003,29Jährige,475936,459612
2003,30Jährige,483232,466266
2003,31Jährige,532325,510994
2003,32Jährige,590054,564360
2003,33Jährige,620361,589176
2003,34Jährige,667491,632541
2003,35Jährige,700237,663363
2003,36Jährige,717317,681060
2003,37Jährige,739283,699164
2003,38Jährige,747100,701375
2003,39Jährige,758892,715641
2003,40Jährige,753684,712675
2003,41Jährige,729063,693407
2003,42Jährige,715061,686487
2003,43Jährige,695946,668695
2003,44Jährige,674027,647871
2003,45Jährige,640655,615396
2003,46Jährige,627610,604427
2003,47Jährige,610931,591955
2003,48Jährige,591778,577655
2003,49Jährige,578930,573232
2003,50Jährige,559278,558512
2003,51Jährige,560524,561268
2003,52Jährige,549758,550897
2003,53Jährige,553594,555181
2003,54Jährige,536968,534667
2003,55Jährige,495169,491104
2003,56Jährige,465088,464837
2003,57Jährige,407738,408462
2003,58Jährige,358310,365506
2003,59Jährige,476333,484588
2003,60Jährige,484919,492057
2003,61Jährige,470905,480366
2003,62Jährige,565585,584444
2003,63Jährige,592512,619266
2003,64Jährige,576707,609693
2003,65Jährige,533882,570838
2003,66Jährige,493438,534612
2003,67Jährige,472682,522682
2003,68Jährige,449486,504721
2003,69Jährige,411268,468745
2003,70Jährige,324620,378768
2003,71Jährige,315408,378260
2003,72Jährige,312484,385298
2003,73Jährige,319018,406211
2003,74Jährige,298642,392774
2003,75Jährige,285903,387547
2003,76Jährige,246336,366831
2003,77Jährige,218806,367386
2003,78Jährige,196910,364987
2003,79Jährige,162044,341045
2003,80Jährige,146140,323624
2003,81Jährige,142313,319809
2003,82Jährige,133116,317537
2003,83Jährige,115805,292384
2003,84Jährige,78120,204624
