jahr,alt,d_m_le,d_m_vht,d_m_vwt,d_m_ge,d_f_le,d_f_vht,d_f_vwt,d_f_ge,a_m_le,a_m_vht,a_m_vwt,a_m_ge,a_f_le,a_f_vht,a_f_vwt,a_f_ge
2003,00Jährige,342374,0,0,0,324870,0,0,0,20047,0,0,0,19158,0,0,0
2003,01Jährige,349131,0,0,0,331458,0,0,0,21605,0,0,0,20651,0,0,0
2003,02Jährige,356860,0,0,0,339057,0,0,0,23311,0,0,0,22007,0,0,0
2003,03Jährige,370460,0,0,0,354331,0,0,0,25747,0,0,0,24497,0,0,0
2003,04Jährige,357145,0,0,0,337352,0,0,0,43128,0,0,0,41131,0,0,0
2003,05Jährige,363031,,0,0,344820,0,0,0,44627,0,0,0,42493,0,0,0
2003,06Jährige,374293,0,0,0,355028,0,0,0,46042,0,0,0,43739,0,0,0
2003,07Jährige,368244,0,0,0,348561,0,0,0,44429,0,0,0,42549,0,0,0
2003,08Jährige,356718,0,0,0,338256,0,0,0,42321,0,0,0,40968,0,0,0
2003,09Jährige,360877,0,0,0,341525,0,0,0,43947,0,0,0,41715,0,0,0
2003,10Jährige,375919,0,0,0,356284,0,0,0,45066,0,0,0,43158,0,0,0
2003,11Jährige,384811,0,0,0,366498,0,0,0,46242,0,0,0,44009,0,0,0
2003,12Jährige,402902,0,0,0,382766,0,0,0,45749,0,0,0,43553,0,0,0
2003,13Jährige,447690,0,0,0,424251,0,0,0,46907,0,0,0,44353,0,0,0
2003,14Jährige,440753,0,0,0,419291,0,0,0,48005,0,0,0,45400,0,0,0
2003,15Jährige,455353,4,0,1,431962,30,2,2,48677,0,0,0,45277,31,0,0
2003,16Jährige,447322,3,0,0,422821,68,6,2,48013,11,0,0,44167,177,3,1
2003,17Jährige,440107,7,0,0,419188,324,7,16,46697,51,0,0,41509,883,1,6
2003,18Jährige,425366,212,0,12,403774,2256,14,26,46537,297,1,1,40478,2688,8,9
2003,19Jährige,424817,1039,7,11,398919,6789,19,58,47896,984,1,10,41954,5237,6,50
2003,20Jährige,426077,2942,12,45,396525,13775,27,237,50503,2013,2,29,44880,8513,23,132
2003,21Jährige,432507,6751,8,133,395601,23957,67,737,55273,3882,5,101,48766,12371,30,265
2003,22Jährige,421643,12238,19,320,380673,37048,103,1576,58639,6488,10,244,50484,16905,58,557
2003,23Jährige,415369,19868,32,723,365403,52618,159,3070,62292,9600,17,476,52041,21250,76,819
2003,24Jährige,382336,28932,48,1356,324945,67817,224,4784,61185,13281,26,785,51023,24438,121,1163
2003,25Jährige,363426,41083,62,2266,299097,85968,339,6797,61295,16311,34,1169,48751,27729,155,1665
2003,26Jährige,344506,54393,79,3612,273220,105407,472,9156,59671,19650,54,1672,46934,30421,199,2182
2003,27Jährige,318719,69339,86,4986,244339,124249,527,11761,60498,22692,61,2236,45861,32541,245,2767
2003,28Jährige,289324,84677,163,6713,212116,140232,677,14266,60534,24737,94,2963,45374,34176,295,3366
2003,29Jährige,274041,103926,178,8950,194792,162031,852,17441,57769,27278,103,3691,43073,37213,390,3820
2003,30Jährige,256766,125826,234,11664,176837,182993,1052,20663,56438,27740,127,4437,42543,37494,398,4286
2003,31Jährige,266317,159883,336,16092,179042,219726,1398,26427,54769,29336,190,5402,40440,38849,496,4616
2003,32Jährige,278825,200906,477,21612,184095,262587,1824,33739,52373,29718,195,5948,38016,38880,447,4772
2003,33Jährige,271305,228863,590,27022,174802,290822,2281,39879,54294,31114,205,6968,35595,40185,535,5077
2003,34Jährige,270354,272745,753,34827,171989,331988,2835,48103,49038,31931,283,7560,32278,39718,597,5033
2003,35Jährige,264430,306895,1021,41866,167748,362791,3306,55930,44934,32896,320,7875,27583,40272,659,5074
2003,36Jährige,249265,338558,1197,48684,157892,388279,4059,63155,38456,33093,328,7736,22099,39684,718,5174
2003,37Jährige,234268,366612,1511,55905,147889,409595,5020,70442,37383,35087,341,8176,19211,40751,792,5464
2003,38Jährige,218335,383471,1713,62715,135162,419696,6150,76254,34215,37400,420,8831,16506,41506,864,5237
2003,39Jährige,205004,404115,2019,70029,126751,437008,7203,83625,29433,39566,439,8287,13475,41205,911,5463
2003,40Jährige,187656,415278,2396,74792,115537,444978,8392,87000,24610,40305,481,8166,11062,39698,990,5018
2003,41Jährige,167590,413298,2722,77284,101781,440255,9392,87881,20785,38708,462,8214,9030,38819,1043,5206
2003,42Jährige,152949,418989,2926,80618,91989,444248,10971,89973,16245,35241,489,7604,7183,36205,1052,4866
2003,43Jährige,137724,411151,3287,80666,81867,434696,12485,88278,16046,38278,563,8231,6608,38271,1318,5172
2003,44Jährige,121100,412092,3652,81273,71650,429048,13455,86869,12202,35845,451,7412,5664,35162,1194,4829
2003,45Jährige,108031,396848,4033,77424,63652,410737,14417,81818,10683,35706,590,7340,4882,33914,1246,4730
2003,46Jährige,97180,396769,4499,76916,58497,406321,16117,80704,8715,35588,583,7360,4139,32787,1436,4426
2003,47Jährige,88423,390608,4879,74422,52892,398756,17443,78316,7800,36863,623,7313,4092,34363,1543,4550
2003,48Jährige,79705,386043,5190,72202,47777,389832,19045,75752,6845,34558,662,6573,3651,35045,1795,4758
2003,49Jährige,73224,384577,5659,71240,44432,387476,20753,74991,5787,31709,651,6083,3447,35576,1969,4588
2003,50Jährige,66592,378260,6217,68081,40214,379707,22445,72172,4833,29273,599,5423,3063,34539,1954,4418
2003,51Jährige,62425,383948,6821,66321,37492,380525,25318,71093,4804,29996,608,5601,3127,36804,2258,4651
2003,52Jährige,56866,382127,7253,64019,34069,376594,27586,69300,4001,29672,664,5156,2786,34044,2194,4324
2003,53Jährige,54503,383154,8163,62643,32171,375897,30890,67719,4173,34521,862,5575,2984,38081,2969,4470
2003,54Jährige,47717,375776,8683,59056,28275,364276,32950,63432,3922,35696,889,5229,2579,36073,2803,4279
2003,55Jährige,41259,345347,8599,53315,24614,331769,33534,57576,3711,36840,972,5126,2374,34180,3013,4044
2003,56Jährige,36479,323875,9013,48814,21639,314734,34929,52891,3464,37730,966,4747,2142,31770,2943,3789
2003,57Jährige,31178,282155,8801,42150,18303,274368,33646,46058,2945,35167,1016,4326,1834,28066,2940,3247
2003,58Jährige,26623,247514,8659,36432,16430,242219,33292,40871,2564,32061,988,3469,1586,25353,2907,2848
2003,59Jährige,34559,345784,12634,46336,21075,332734,47685,53017,2454,30158,1051,3357,1444,22998,3026,2609
2003,60Jährige,34586,355016,14333,45129,21669,338172,52523,52353,2206,29475,1058,3116,1325,20615,2926,2474
2003,61Jährige,33111,343823,15337,41769,21840,325323,57423,48832,2183,30571,1092,3019,1284,20225,3094,2345
2003,62Jährige,39340,424746,20485,46949,25988,399636,78094,56585,1947,28206,1106,2806,1316,17386,3160,2279
2003,63Jährige,39579,446264,24592,45967,27350,415687,94112,56728,2020,29814,1409,2867,1255,18142,3781,2211
2003,64Jährige,36480,440851,25569,41453,27387,405755,101653,52781,1710,26847,1270,2527,1125,15367,3606,2019
2003,65Jährige,32206,409814,26313,35756,26616,370183,106026,46645,1625,24714,1231,2223,1162,14482,3715,2009
2003,66Jährige,28220,381126,26930,30841,25797,338412,109999,41441,1589,21582,1217,1933,1048,12634,3507,1774
2003,67Jährige,26075,367158,28586,27866,25761,322327,119458,38246,1311,18830,1097,1759,907,10902,3517,1564
2003,68Jährige,23245,351651,30762,24748,25458,300331,129105,35024,1095,15644,929,1412,840,9152,3457,1354
2003,69Jährige,19676,321147,30608,21286,24259,268491,131655,31116,1006,15061,1109,1375,764,8091,3173,1196
2003,70Jährige,15047,251213,26381,15300,20550,206803,115943,23329,948,13534,1006,1191,633,7346,3049,1115
2003,71Jährige,13809,245080,29026,13941,21634,198201,125164,22257,740,10812,975,1025,610,6393,2985,1016
2003,72Jährige,13129,243407,31796,12453,23141,192658,138120,21837,677,9301,825,896,537,5209,2919,877
2003,73Jährige,12930,246295,36970,12049,25456,189536,158597,22578,651,8434,916,773,590,5170,3372,912
2003,74Jährige,11287,230324,37852,10363,26254,174779,161843,21218,590,6733,792,701,554,4416,2901,809
2003,75Jährige,10136,218016,40231,9759,27173,161204,170622,20724,440,5912,758,651,529,3525,3025,745
2003,76Jährige,8463,185139,38210,7787,27139,141230,171948,18912,520,4999,753,465,504,3217,3253,628
2003,77Jährige,7158,162080,37005,6553,28878,127628,184721,19214,440,4344,760,466,463,2749,3101,632
2003,78Jährige,6286,142871,36948,5630,30662,112470,196313,18917,419,3673,680,403,500,2332,3202,591
2003,79Jährige,5246,115383,32066,4588,29833,95049,193174,16909,363,3397,596,405,417,2092,3046,525
2003,80Jährige,4467,101264,32265,4003,29103,79530,193435,16009,341,2814,647,339,462,1713,2871,501
2003,81Jährige,4421,96608,33905,3569,28268,68667,201812,16072,290,2566,618,336,373,1370,2841,406
2003,82Jährige,3982,88266,34239,3435,27073,59916,210409,15718,280,2085,561,268,339,1234,2504,344
2003,83Jährige,3360,72471,34100,2904,23697,44986,205624,14094,233,1927,572,238,292,938,2432,321
2003,84Jährige,2312,47811,23735,2009,16193,27557,148157,9655,220,1416,430,187,266,631,1954,211
2003,85 Jahre und mehr,17549,127204,161153,9481,89079,68335,824143,38779,2331,8098,4286,1057,2649,4019,15209,1519
2004,00Jährige,343334,0,0,0,326123,0,0,0,18215,0,0,0,17316,0,0,0
2004,01Jährige,343936,0,0,0,326388,0,0,0,20307,0,0,0,19415,0,0,0
2004,02Jährige,349772,0,0,0,332070,0,0,0,21703,0,0,0,20585,0,0,0
2004,03Jährige,357324,0,0,0,339510,0,0,0,23104,0,0,0,21773,0,0,0
2004,04Jährige,370961,0,0,0,354793,0,0,0,25474,0,0,0,24219,0,0,0
2004,05Jährige,357880,0,0,0,338075,0,0,0,42422,0,0,0,40441,0,0,0
2004,06Jährige,363833,0,0,0,345443,0,0,0,43555,0,0,0,41523,0,0,0
2004,07Jährige,375136,0,0,0,355819,0,0,0,44935,0,0,0,42848,0,0,0
2004,08Jährige,369256,0,0,0,349464,0,0,0,43509,0,0,0,41785,0,0,0
2004,09Jährige,357758,0,0,0,339288,0,0,0,41702,0,0,0,40314,0,0,0
2004,10Jährige,361981,0,0,0,342571,0,0,0,43203,0,0,0,40993,0,0,0
2004,11Jährige,377128,0,0,0,357381,0,0,0,44431,0,0,0,42434,0,0,0
2004,12Jährige,386038,0,0,0,367600,0,0,0,45608,0,0,0,43315,0,0,0
2004,13Jährige,404156,0,0,0,383918,0,0,0,45143,0,0,0,42938,0,0,0
2004,14Jährige,448970,0,0,0,425355,0,0,0,46349,0,0,0,43838,0,0,0
2004,15Jährige,442066,1,0,0,420543,24,5,1,47468,1,0,0,45007,31,1,2
2004,16Jährige,456862,4,0,1,433245,66,3,3,48519,7,0,0,44967,140,1,0
2004,17Jährige,448524,7,0,0,424064,270,9,5,47952,30,1,2,43711,631,4,1
2004,18Jährige,441480,193,1,4,419153,2141,13,21,46579,203,0,1,41115,2109,4,10
2004,19Jährige,427033,834,2,17,402927,5878,21,60,46809,737,2,2,41507,4789,14,28
2004,20Jährige,425139,2596,8,37,395553,12331,30,193,48806,1767,2,26,44021,7647,11,117
2004,21Jährige,424698,5918,12,98,390438,21382,49,634,51038,3262,4,70,45991,11233,27,240
2004,22Jährige,429273,11370,15,300,386455,34173,101,1435,55506,5593,9,203,49443,15335,42,443
2004,23Jährige,416383,18550,26,634,368604,49745,153,2745,58699,8594,14,430,50631,19888,85,804
2004,24Jährige,408046,28039,37,1294,350639,67366,222,4628,61530,11940,20,749,51367,24040,87,1153
2004,25Jährige,372664,39216,59,2173,308597,83491,292,6726,59389,15723,33,1165,49452,27118,148,1604
2004,26Jährige,351709,53013,83,3375,281347,102780,417,8930,58726,18694,41,1614,46602,29945,179,2128
2004,27Jährige,330691,68172,105,4992,254818,122390,578,11448,56645,21578,57,2159,45382,32105,208,2737
2004,28Jährige,303547,84368,116,6636,226503,140667,636,14312,57547,24081,71,2837,44145,33875,287,3339
2004,29Jährige,273343,100288,196,8644,195721,155310,803,16748,57162,25651,110,3642,43845,34994,323,4003
2004,30Jährige,256726,120532,217,10974,179031,176273,1000,20109,54665,27696,107,4446,41838,37420,425,4475
2004,31Jährige,240428,140985,280,14006,163734,194508,1212,23527,53432,27571,134,5117,41325,37157,423,4896
2004,32Jährige,249745,175175,395,18727,166655,230425,1617,29382,52229,28643,202,6109,39393,38330,517,5171
2004,33Jährige,262172,215663,543,24829,172260,272189,2089,37104,50026,28626,212,6718,37090,37998,478,5322
2004,34Jährige,256085,242102,678,30374,164743,298554,2593,43240,51953,29686,223,7744,34907,39111,561,5568
2004,35Jährige,255699,284908,844,38329,163027,338014,3199,51867,47124,30341,293,8173,31571,38506,642,5525
2004,36Jährige,251506,317069,1129,45639,160014,366645,3723,59941,43291,31122,321,8518,27107,39013,678,5555
2004,37Jährige,238041,346669,1322,52570,151855,390538,4492,67205,37120,31092,341,8262,21736,38470,748,5562
2004,38Jährige,224895,372929,1670,59879,143072,410288,5572,74860,36084,32770,352,8751,18899,39519,824,5799
2004,39Jährige,210692,387482,1888,66896,131483,419007,6751,80857,33119,35275,438,9345,16246,40152,897,5604
2004,40Jährige,197980,407418,2229,73870,123214,436284,7900,87695,28497,37602,463,8777,13196,40016,965,5828
2004,41Jährige,182272,416481,2612,78913,112993,442950,9238,91312,23827,38331,504,8627,10887,38621,1024,5342
2004,42Jährige,163250,413456,3011,81129,99884,437601,10377,91997,20169,36791,481,8624,8883,37616,1091,5529
2004,43Jährige,149371,418265,3212,84240,90483,441423,11907,93838,15802,33875,486,7911,7089,35243,1116,5088
2004,44Jährige,134668,409892,3541,84054,80613,431828,13577,91519,15592,36788,583,8593,6529,37329,1386,5399
2004,45Jährige,118828,410476,4035,84361,70522,426157,14733,89787,11825,34459,473,7665,5580,34196,1257,5044
2004,46Jährige,105922,395091,4362,80234,62724,407942,15748,84255,10380,34399,609,7552,4821,33167,1318,4867
2004,47Jährige,95301,394900,4900,79197,57687,403539,17610,82653,8463,34290,598,7533,4089,31977,1504,4600
2004,48Jährige,86851,388712,5298,76382,52192,396044,19029,79917,7538,35708,647,7495,4021,33566,1629,4734
2004,49Jährige,78313,383753,5720,73952,47156,386976,20735,77190,6726,33407,693,6687,3593,34401,1925,4869
2004,50Jährige,71731,382461,6158,72316,43787,384870,22706,75850,5609,30558,665,6203,3419,34855,2120,4738
2004,51Jährige,65449,375824,6763,69284,39779,376513,24516,73181,4716,28267,603,5507,3032,33821,2075,4525
2004,52Jährige,61321,381127,7428,67372,37107,377311,27529,71817,4664,28960,652,5678,3098,35998,2409,4785
2004,53Jährige,55863,379430,7835,64718,33690,373258,29927,69849,3880,28616,715,5193,2745,33320,2373,4403
2004,54Jährige,53491,380123,8891,63143,31830,372265,33410,68186,4043,33426,924,5655,2949,37221,3172,4543
2004,55Jährige,46809,372691,9416,59376,28037,360411,35751,63658,3784,34599,940,5277,2558,35307,2998,4282
2004,56Jährige,40540,342355,9319,53490,24423,328000,36179,57692,3621,35737,1024,5183,2346,33409,3194,4053
2004,57Jährige,35796,320836,9799,48755,21465,310704,37765,52902,3350,36555,1015,4780,2130,30993,3135,3819
2004,58Jährige,30629,279167,9459,42048,18142,270533,36249,46001,2865,34096,1054,4328,1789,27436,3087,3255
2004,59Jährige,26099,244674,9338,36165,16297,238566,35745,40683,2468,31244,1047,3511,1575,24715,3053,2854
2004,60Jährige,33809,341860,13550,45579,20868,327702,51110,52517,2338,29050,1094,3325,1419,22217,3176,2610
2004,61Jährige,33824,350183,15379,44568,21480,332449,56230,52164,2107,28399,1111,3104,1287,19883,3049,2440
2004,62Jährige,32317,338946,16369,41085,21618,319321,61342,48625,2091,29561,1113,2980,1241,19543,3234,2345
2004,63Jährige,38356,418066,21868,46142,25726,391706,83268,56271,1847,27219,1157,2810,1299,16752,3302,2263
2004,64Jährige,38536,438678,26110,45042,27087,406370,100287,56369,1893,28608,1476,2841,1222,17439,3937,2217
2004,65Jährige,35378,432508,27140,40599,27093,395929,108095,52373,1578,25534,1335,2516,1091,14733,3724,1998
2004,66Jährige,31284,401028,27956,34958,26311,360158,112543,46267,1528,23562,1298,2212,1127,13849,3832,1991
2004,67Jährige,27353,372322,28525,30065,25500,328183,116353,41076,1476,20600,1243,1907,1026,12050,3615,1763
2004,68Jährige,25270,357536,30188,27110,25398,311651,126025,37784,1197,17967,1133,1738,889,10405,3587,1565
2004,69Jährige,22478,341597,32326,24026,25123,289071,135619,34523,1021,14905,956,1387,813,8692,3530,1329
2004,70Jährige,19019,310540,32139,20588,23868,257454,137764,30664,939,14293,1115,1358,740,7708,3165,1171
2004,71Jährige,14521,242176,27671,14757,20207,197189,120981,22933,888,12815,1044,1171,614,6988,3087,1108
2004,72Jährige,13323,235271,30268,13468,21274,188134,130093,21850,679,10274,990,990,587,6110,3001,998
2004,73Jährige,12612,232406,33151,11987,22688,181842,142924,21382,634,8802,830,874,525,4916,2940,844
2004,74Jährige,12464,233908,38395,11529,24901,177754,163505,22009,619,7999,924,753,575,4882,3413,894
2004,75Jährige,10856,217404,39030,9906,25589,163077,166110,20687,556,6367,779,692,538,4166,2897,788
2004,76Jährige,9738,204529,41323,9301,26405,149203,174024,20159,406,5583,765,630,516,3326,2996,712
2004,77Jährige,8118,172648,39268,7445,26384,129931,174077,18318,503,4741,747,456,493,3033,3221,614
2004,78Jährige,6869,150295,37670,6239,27883,116404,185806,18517,431,4074,756,451,452,2583,3069,621
2004,79Jährige,6039,131105,37410,5343,29515,101235,195808,18178,410,3486,672,396,478,2187,3152,590
2004,80Jährige,5000,105031,32246,4356,28547,84941,190802,16196,348,3166,590,395,404,1965,2958,510
2004,81Jährige,4284,91000,32171,3791,27711,70254,189416,15180,331,2641,630,328,450,1614,2810,487
2004,82Jährige,4194,85821,33529,3364,26711,59934,195097,15197,272,2388,618,328,361,1280,2770,395
2004,83Jährige,3794,77156,33573,3229,25400,51672,201191,14706,263,1952,558,253,334,1165,2428,337
2004,84Jährige,3145,62155,33046,2736,22088,38043,193988,13024,214,1802,542,228,273,898,2352,309
2004,85 Jahre und mehr,18111,137743,161611,10454,92752,80095,826048,42286,2473,8979,4535,1200,2810,4407,16168,1644
2005,00Jährige,336706,0,0,0,319986,0,0,0,15031,0,0,0,14264,0,0,0
2005,01Jährige,344168,0,0,0,326945,0,0,0,18948,0,0,0,17952,0,0,0
2005,02Jährige,344202,0,0,0,326611,0,0,0,20334,0,0,0,19447,0,0,0
2005,03Jährige,349883,0,0,0,332208,0,0,0,21787,0,0,0,20634,0,0,0
2005,04Jährige,357494,0,0,0,339504,0,0,0,23007,0,0,0,21747,0,0,0
2005,05Jährige,371188,0,0,0,354874,0,0,0,25154,0,0,0,24071,0,0,0
2005,06Jährige,358173,0,0,0,338375,0,0,0,41516,0,0,0,39409,0,0,0
2005,07Jährige,364270,0,0,0,345812,0,0,0,42672,0,0,0,40671,0,0,0
2005,08Jährige,375841,0,0,0,356543,0,0,0,44018,0,0,0,42030,0,0,0
2005,09Jährige,370063,0,0,0,350198,0,0,0,42633,0,0,0,41009,0,0,0
2005,10Jährige,358566,0,0,0,340072,0,0,0,41022,0,0,0,39583,0,0,0
2005,11Jährige,362801,0,0,0,343412,0,0,0,42659,0,0,0,40482,0,0,0
2005,12Jährige,377961,0,0,0,358155,0,0,0,43887,0,0,0,41909,0,0,0
2005,13Jährige,386923,0,0,0,368453,0,0,0,45063,0,0,0,42738,0,0,0
2005,14Jährige,404960,0,0,0,384761,0,0,0,44617,0,0,0,42470,0,0,0
2005,15Jährige,449772,1,0,0,426214,6,1,3,45912,0,0,0,43443,14,1,1
2005,16Jährige,443219,2,0,0,421676,54,7,1,47174,4,0,1,44580,107,1,5
2005,17Jährige,457827,7,0,1,434319,199,5,7,48045,22,0,0,44399,500,1,1
2005,18Jährige,449374,183,0,4,423967,1771,12,11,47476,161,1,3,43232,1807,4,7
2005,19Jährige,442658,771,4,8,418118,5419,18,48,46585,583,1,6,42164,3831,6,24
2005,20Jährige,426928,2170,4,43,399634,10710,29,216,47845,1437,4,15,43487,7042,20,76
2005,21Jährige,423594,5127,13,94,389506,19261,47,540,49881,2783,3,76,45884,10136,23,254
2005,22Jährige,421120,10081,20,240,381711,30571,80,1324,52387,4734,7,158,47721,13862,39,450
2005,23Jährige,423852,17086,20,618,374536,45884,132,2563,56671,7535,11,390,50732,18179,55,752
2005,24Jährige,408735,26303,31,1173,353822,63519,197,4421,59028,10528,22,705,51057,22535,96,1233
2005,25Jährige,397766,38055,56,2142,333132,83364,284,6685,60744,14109,26,1168,50986,26564,106,1659
2005,26Jährige,360606,50804,80,3321,290289,99901,356,8908,58104,17509,37,1705,48601,29239,172,2224
2005,27Jährige,337432,66481,101,4816,262216,119631,517,11360,57107,20170,50,2208,45694,31798,208,2848
2005,28Jährige,314834,82839,132,6661,236145,138550,685,14096,54785,22858,64,2862,44662,33321,238,3478
2005,29Jährige,286513,99950,155,8688,208993,155933,743,16927,55533,24841,84,3662,43342,34721,323,4120
2005,30Jährige,255764,116594,225,10738,179586,169080,973,19562,55305,25991,121,4421,43184,35420,353,4779
2005,31Jährige,240317,135348,260,13350,165386,187669,1129,23094,52853,27790,113,5324,41093,37328,450,5294
2005,32Jährige,224746,154978,327,16641,151999,203824,1381,26663,51592,27285,143,6001,40742,36646,458,5670
2005,33Jährige,234038,188642,441,21733,155683,238772,1845,32646,50567,27954,217,6948,38872,37774,550,5864
2005,34Jährige,246726,228254,626,28238,161979,279339,2321,40708,48687,27617,227,7613,36690,37076,532,6007
2005,35Jährige,242238,252905,776,34015,156102,303703,2927,47114,50560,28250,225,8589,34541,38176,597,6172
2005,36Jährige,242641,294281,970,42263,155554,341220,3546,56218,46015,28836,301,9087,31268,37293,691,6243
2005,37Jährige,240031,324619,1265,49763,153611,368360,4147,64501,42293,29342,356,9273,26894,38003,711,6179
2005,38Jährige,228305,352080,1490,57010,146696,390566,5012,72075,36273,29642,350,8871,21539,37530,796,6011
2005,39Jährige,216769,376527,1844,64175,138829,409119,6160,79881,35399,31197,371,9428,18738,38646,871,6277
2005,40Jährige,203279,390161,2059,71031,127827,417673,7415,85254,32602,33975,460,10028,16138,39163,960,6109
2005,41Jährige,192283,407834,2420,78370,120548,433303,8585,92671,28029,36040,499,9457,13148,38962,1034,6360
2005,42Jährige,177483,415850,2855,83401,110850,439206,10091,96301,23521,37042,528,9067,10831,37706,1096,5773
2005,43Jährige,159393,411966,3266,85377,98195,433699,11292,96449,19972,35555,510,9122,8893,36842,1171,5895
2005,44Jährige,146056,416101,3502,88373,89006,437475,12998,97955,15736,32865,507,8352,7061,34493,1205,5443
2005,45Jährige,131907,407477,3863,87711,79350,428135,14819,94975,15427,35806,606,9020,6543,36431,1481,5888
2005,46Jährige,116475,407558,4424,87721,69504,422455,16000,92814,11744,33598,487,8036,5580,33516,1356,5370
2005,47Jährige,103874,392365,4758,83092,61865,404365,17150,86871,10351,33545,644,7874,4844,32486,1397,5165
2005,48Jährige,93569,391722,5330,81920,56882,399982,19151,84876,8428,33485,637,7810,4101,31415,1612,4849
2005,49Jährige,85329,385369,5774,78809,51553,392449,20637,81930,7581,34888,673,7776,4034,32949,1773,4989
2005,50Jährige,76684,381406,6277,75252,46398,384078,22616,78202,6745,32520,730,6956,3597,33858,2037,5094
2005,51Jährige,70482,379121,6763,73911,43286,381254,24735,77144,5655,29900,705,6424,3395,34259,2236,4920
2005,52Jährige,64248,372585,7321,70573,39344,373000,26687,74075,4766,27552,647,5693,3043,33164,2205,4700
2005,53Jährige,60237,378009,7994,68300,36673,373435,29849,72635,4664,28295,700,5819,3112,35285,2604,4969
2005,54Jährige,54793,375960,8512,65465,33313,369280,32439,70390,3847,28060,747,5345,2758,32742,2565,4529
2005,55Jährige,52497,376561,9591,63643,31465,368104,36122,68591,4017,32751,983,5730,2956,36519,3392,4659
2005,56Jährige,45896,368961,10123,59690,27761,355983,38607,63869,3776,33868,994,5417,2554,34639,3214,4381
2005,57Jährige,39845,338797,10066,53621,24159,323841,39006,57718,3595,34910,1091,5227,2336,32695,3393,4140
2005,58Jährige,35100,317282,10505,48768,21278,306405,40609,52952,3335,35802,1087,4846,2142,30301,3352,3908
2005,59Jährige,30036,275664,10266,41942,17980,266311,38972,45986,2821,33421,1115,4377,1806,26750,3293,3291
2005,60Jährige,25543,241544,10099,35816,16175,234751,38251,40418,2397,30350,1100,3526,1578,24015,3248,2898
2005,61Jährige,33038,337082,14579,45223,20638,321918,54699,52274,2264,28197,1161,3324,1427,21525,3331,2641
2005,62Jährige,33013,344951,16458,43914,21244,326042,60196,51969,2063,27582,1184,3118,1290,19230,3180,2457
2005,63Jährige,31477,333459,17590,40424,21424,313117,65302,48282,2037,28615,1171,2986,1222,18890,3411,2351
2005,64Jährige,37362,410859,23330,45282,25455,383151,88738,55874,1783,26284,1240,2803,1283,16126,3481,2294
