jahr,geburtsjahr,alt,ledige Männer,verheiratete Männer,verwitwete Männer,geschiedene Männer,ledige Frauen,verheiratete Frauen,verwitwete Frauen,geschiedene Frauen
2003,2003,00Jährige,362421,0,0,0,344028,0,0,0
2003,2002,01Jährige,370736,0,0,0,352109,0,0,0
2003,2001,02Jährige,380171,0,0,0,361064,0,0,0
2003,2000,03Jährige,396207,0,0,0,378828,0,0,0
2003,1999,04Jährige,400273,0,0,0,378483,0,0,0
2003,1998,05Jährige,407658,0,0,0,387313,0,0,0
2003,1997,06Jährige,420335,0,0,0,398767,0,0,0
2003,1996,07Jährige,412673,0,0,0,391110,0,0,0
2003,1995,08Jährige,399039,0,0,0,379224,0,0,0
2003,1994,09Jährige,404824,0,0,0,383240,0,0,0
2003,1993,10Jährige,420985,0,0,0,399442,0,0,0
2003,1992,11Jährige,431053,0,0,0,410507,0,0,0
2003,1991,12Jährige,448651,0,0,0,426319,0,0,0
2003,1990,13Jährige,494597,0,0,0,468604,0,0,0
2003,1989,14Jährige,488758,0,0,0,464691,0,0,0
2003,1988,15Jährige,504030,4,0,1,477239,61,2,2
2003,1987,16Jährige,495335,14,0,0,466988,245,9,3
2003,1986,17Jährige,486804,58,0,0,460697,1207,8,22
2003,1985,18Jährige,471903,509,1,13,444252,4944,22,35
2003,1984,19Jährige,472713,2023,8,21,440873,12026,25,108
2003,1983,20Jährige,476580,4955,14,74,441405,22288,50,369
2003,1982,21Jährige,487780,10633,13,234,444367,36328,97,1002
2003,1981,22Jährige,480282,18726,29,564,431157,53953,161,2133
2003,1980,23Jährige,477661,29468,49,1199,417444,73868,235,3889
2003,1979,24Jährige,443521,42213,74,2141,375968,92255,345,5947
2003,1978,25Jährige,424721,57394,96,3435,347848,113697,494,8462
2003,1977,26Jährige,404177,74043,133,5284,320154,135828,671,11338
2003,1976,27Jährige,379217,92031,147,7222,290200,156790,772,14528
2003,1975,28Jährige,349858,109414,257,9676,257490,174408,972,17632
2003,1974,29Jährige,331810,131204,281,12641,237865,199244,1242,21261
2003,1973,30Jährige,313204,153566,361,16101,219380,220487,1450,24949
2003,1972,31Jährige,321086,189219,526,21494,219482,258575,1894,31043
2003,1971,32Jährige,331198,230624,672,27560,222111,301467,2271,38511
2003,1970,33Jährige,325599,259977,795,33990,210397,331007,2816,44956
2003,1969,34Jährige,319392,304676,1036,42387,204267,371706,3432,53136
2003,1968,35Jährige,309364,339791,1341,49741,195331,403063,3965,61004
2003,1967,36Jährige,287721,371651,1525,56420,179991,427963,4777,68329
